1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,R,I,A,S,E,C,Class
4,3,3,1,4,3,2,3,3,3,2,2,2,2,2,2,2,3,4,3,3,1,1,1,2,3,2,4,4,4,2,4,2,4,4,3,3,2,2,2,3,1,3,2,3,2,3,4,0,2,1,2,1,2,26,20,20,31,21,17,S
1,1,2,0,0,1,1,3,2,3,1,1,2,2,1,4,4,1,2,2,2,3,3,4,4,1,1,0,0,0,2,2,2,3,0,1,2,1,1,2,1,3,2,0,0,1,1,1,2,2,2,1,0,1,11,19,22,10,12,11,A
1,4,4,1,1,4,1,2,4,3,1,1,2,1,1,1,4,1,3,4,4,2,1,0,0,2,2,3,3,2,0,1,3,4,4,2,1,1,4,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,22,15,18,22,9,6,R
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,36,36,36,36,36,36,R
3,4,4,1,1,2,0,4,3,2,2,2,1,1,1,1,0,1,4,2,4,1,1,1,1,1,4,4,4,4,2,4,2,1,1,2,2,1,3,1,1,1,1,0,0,1,1,0,4,0,1,4,2,0,22,11,19,24,10,13,S
4,3,3,1,0,3,1,0,1,1,1,2,2,1,1,1,1,3,2,2,2,1,1,0,0,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,1,2,1,16,13,13,19,25,17,E
4,3,3,3,1,3,2,3,4,3,2,2,0,1,2,4,3,2,3,4,4,2,1,0,2,3,3,4,3,4,2,4,2,2,3,3,4,2,2,2,2,2,1,2,1,2,3,3,1,2,2,1,2,1,26,19,22,27,18,17,S
1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,0,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,14,10,15,11,13,9,A
4,3,2,2,1,2,1,2,2,2,2,2,1,2,2,3,1,2,3,1,2,2,0,0,1,2,1,2,3,4,2,4,3,2,4,1,1,2,1,1,1,2,1,1,2,2,2,3,1,2,2,3,3,2,19,17,12,25,12,20,S
3,4,4,2,1,1,2,3,0,3,3,3,2,3,2,3,2,3,3,3,4,2,3,0,1,2,4,4,4,4,1,3,2,1,3,3,2,3,4,3,3,4,2,3,2,2,4,4,3,2,4,4,2,2,20,24,22,25,26,27,C
4,3,3,3,1,1,3,2,2,2,2,2,0,1,1,3,2,3,3,2,3,1,2,3,2,2,3,3,3,3,2,3,3,3,4,2,1,3,3,2,1,2,2,1,1,1,3,3,1,1,2,1,3,2,22,16,21,26,16,17,S
4,3,1,2,3,4,0,3,3,4,2,2,4,2,2,3,3,2,4,4,4,2,4,3,2,4,3,4,2,3,2,3,4,4,4,2,4,2,2,3,2,3,3,3,2,2,1,1,1,1,2,3,3,3,23,24,30,28,24,17,A
1,1,2,2,2,3,1,2,2,2,2,2,2,1,1,2,1,1,3,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,3,0,2,3,2,2,2,2,1,1,1,1,1,2,3,2,2,3,16,14,14,12,17,16,E
4,3,3,1,1,2,1,1,1,3,3,2,3,2,3,3,2,2,1,2,3,2,1,2,2,3,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,1,0,0,2,1,1,3,3,3,3,3,3,17,23,19,24,18,22,S
4,3,3,3,3,3,3,2,0,3,3,4,0,2,2,2,2,3,0,3,2,4,4,4,4,4,2,4,2,3,3,2,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,21,27,24,35,36,C
4,3,3,3,0,1,0,0,0,3,3,3,4,3,2,4,0,4,3,2,0,2,0,0,3,3,2,3,3,3,2,2,2,2,3,3,0,3,4,2,3,2,1,0,3,4,2,2,0,0,2,2,0,0,14,26,15,23,18,12,I
2,2,3,2,2,2,1,2,2,2,1,1,2,1,1,2,0,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,0,0,2,0,2,0,18,11,14,17,12,8,R
